time_s,Nmech,Wf,DOB_request,DOB_sensed,DOB_PI,DOB_command,DOB_disturbance,DOB_acceleration,DOB_SM,DOB_iterations,PTO_hp,PTO_turbine_hp,PTO_compressor_hp,VF_command,VF_setpoint,VF_feedback,VF_error,VF_acceleration,VF_integral,VF_unsaturated,VF_outside,inlet_temperature_K,inlet_pressure_kPa,max_flow_error,valid,compressor_NcMap,compressor_Nc_outside,VR_integrator_error,VR_proportional_term,VR_speed_slope,VR_accel_slope,VR_fallback
0,10000,3,10000,10000,3,3,0,0.00415864642929939,17.832553753545,14,0,27896.538949239,-27896.5140739687,3,2.85142450465298,2.85142450465298,0,0,3,5.85142450465298,1,288.150008033341,99.298846116789,2.39771419059588e-10,1,0.999999986060488,0,0,0,0.00168724067802603,0.00165180585595017,0
0.015,10000.0000623797,3,10000,10000,3,3,0,0.00407402517510584,17.8325542651488,3,0,27896.5394128019,-27896.5150437001,3,2.85144987940012,2.85144987940012,0,0,0.148575495347016,3.00002537474714,1,288.150008033341,99.298846116789,6.51289202724692e-11,1,0.999999992298457,0,0,0,0.00168725552613816,0.00165180521271173,0
0.03,10000.0001234901,2.99999958946949,10000,10000.0000161665,2.99999958946949,2.99999958946949,0,0.00376187420706708,17.8325594075877,3,0,27896.5380885995,-27896.5155866531,2.99999958946949,2.85144987940012,2.85145060715424,-7.27754110751988e-07,0.000424067549317515,0.148550120599875,2.99999906575352,1,288.150008033341,99.298846116789,1.86420670625053e-10,1,0.999999998409495,0,-1.61664774725378e-05,-9.34246482275909e-07,0.00168725552613816,0.00165180521271173,0
0.045,10000.0001799182,2.99999887103129,10000,10000.0000439807,2.99999887103129,2.99999887103129,0,0.00328430480871893,17.832567501929,3,0,27896.535089676,-27896.5154443484,2.99999887103129,2.85144987940012,2.85145158363153,-1.7042314013338e-06,0.000986813627192986,0.148550644315843,2.99999819068015,1,288.150008033341,99.298846116789,2.33336509490611e-10,1,1.00000000405231,0,-4.3980727843343e-05,-2.33303582174884e-06,0.00168725552613816,0.00165180521271173,0
0.06,10000.0002291828,2.99999794342008,10000,10000.0000792106,2.99999794342008,2.99999794342008,0,0.00269246859289603,17.8325777260086,3,0,27896.5310284073,-27896.5149231945,2.99999794342008,2.85144987940012,2.85145252818532,-2.64878519429246e-06,0.00152265821362639,0.14855132466699,2.99999732047745,1,288.150008033341,99.298846116789,2.80705027272097e-10,1,1.00000000897876,0,-7.92106196764449e-05,-3.88358966957363e-06,0.00168725552613816,0.00165180521271173,0
0.075,10000.0002695698,2.99999689702204,10000,10000.0001180778,2.99999689702204,2.99999689702204,0,0.00203617804315239,17.8325892420071,3,0,27896.5264008007,-27896.5142212414,2.99999689702204,2.85144987940012,2.85145328821106,-3.40881093841006e-06,0.00194307445939801,0.148551947609624,2.99999644622005,1,288.150008033341,99.298846116789,3.10477328816749e-10,1,1.00000001301747,0,-0.000118077772756597,-5.3807896960155e-06,0.00168725552613816,0.00165180521271173,0
0.09,10000.0003001125,2.99999581147109,10000,10000.0001573388,2.99999581147109,2.99999581147109,0,0.00136382196610703,17.8326011762555,3,0,27896.5215655292,-27896.5134077207,2.99999581147109,2.85144987940012,2.85145379272508,-3.91332495652819e-06,0.00220840217285527,0.148552398411612,2.99999558383552,1,288.150008033341,99.298846116789,3.17513360254e-10,1,1.00000001607173,0,-0.000157338820687065,-6.69397621555985e-06,0.00168725552613816,0.00165180521271173,0
0.105,10000.0003205698,2.9999947538514,10000,10000.0001943404,2.9999947538514,2.9999947538514,0,0.000715717275173033,17.8326127930346,3,0,27896.5168263952,-27896.5125452759,2.9999947538514,2.85144987940012,2.85145402307972,-4.14367959100659e-06,0.0023100625526962,0.148552626047186,2.99999475935607,1,288.150008033341,99.298846116789,3.05596107244242e-10,1,1.00000001811747,0,-0.000194340390914593,-7.74609123761562e-06,0.00168725552613816,0.00165180521271173,0
0.12,10000.0003313055,2.99999377736072,10000,10000.0002270543,2.99999377736072,2.99999377736072,0,0.000123420550441869,17.8326235095386,3,0,27896.5124260014,-27896.5116877517,2.99999377736072,2.85144987940012,2.85145399434753,-4.11494740104601e-06,0.00225925222217726,0.148552620542509,2.99999399951633,1,288.150008033341,99.298846116789,2.7885375506563e-10,1,1.00000001919104,0,-0.000227054315117702,-8.5004263004865e-06,0.00168725552613816,0.00165180521271173,0
0.135,10000.0003331569,2.99999292097638,10000,10000.0002540723,2.99999292097638,2.99999292097638,0,-0.00039037364222826,17.8326328993909,3,0,27896.5085438347,-27896.5108788854,2.99999292097638,2.85144987940012,2.8514537422295,-3.86282937681059e-06,0.00207902292741567,0.148552398386895,2.99999332719764,1,288.150008033341,99.298846116789,2.41499340257543e-10,1,1.00000001937617,0,-0.000254072321736193,-8.95058938085798e-06,0.00168725552613816,0.00165180521271173,0
